gravityspy_id,event_time,ifo,ml_label,ml_confidence,snr,snr_bin,duration,peak_frequency
rwpLitSGpO,1241581364.51025,H1,Blip,0.9999998807907104,28.7245693206787,"[8,30)",0.25,269.284820556641
FCWNXRHDqT,1240747921.04639,H1,Blip,0.9999998807907104,18.5389003753662,"[8,30)",0.09375,217.740966796875
1ZkLOROSXj,1240595566.29834,H1,Blip,0.9999998807907104,14.2938995361328,"[8,30)",0.0781200006604195,324.753936767578
Vt13955i2s,1263711472.65381,H1,Blip,0.9999997615814208,22.3089008331299,"[8,30)",0.15625,217.740966796875
KaEoAbqde2,1260562379.36035,H1,Blip,0.9999997615814208,17.3188495635986,"[8,30)",0.15625,176.063125610352
IcV6DZMxTL,1238210670.78223,H1,Blip,0.9999998807907104,80.3803405761719,"[30,100)",1.25,111.128150939941
RRpVjKByZ8,1265092802.5542,H1,Blip,0.9999997615814208,32.3168106079102,"[30,100)",0.25,217.740966796875
2WjIcEWRzC,1263969411.51831,H1,Blip,0.9999996423721312,34.6442909240723,"[30,100)",0.1875,411.865447998047
SWOAOgWbmm,1243601282.31103,H1,Blip,0.9999991655349731,39.2656288146973,"[30,100)",0.375,269.284820556641
g7E65jXHVG,1241210717.1167,H1,Blip,0.9999991655349731,34.1753082275391,"[30,100)",0.21875,269.284820556641
VCyxTjTWmx,1245443923.63818,H1,Blip,0.9982330799102784,166.305953979492,"[100,300)",0.765619993209839,333.030212402344
FlencszvnI,1242143255.21594,H1,Blip,0.99800044298172,124.512229919434,"[100,300)",0.375,963.479125976562
OiLJ5UrEvp,1263250261.08252,H1,Blip,0.9944652915000916,103.223983764648,"[100,300)",0.625,333.030212402344
kRtp24XNrN,1251034973.20166,H1,Blip,0.9939660429954528,142.999908447266,"[100,300)",2.09862995147705,269.284820556641
KpcajsakMN,1268233046.64697,H1,Blip,0.9919356107711792,106.587547302246,"[100,300)",0.75,217.740966796875
5GyW2I8RTC,1250481506.04541,H1,Blip,0.9554197192192078,344.380798339844,"[300,inf)",0.75,217.740966796875
3YWIjNLmVk,1238824807.73242,H1,Koi_Fish,0.9999827146530152,29.6348705291748,"[8,30)",1.0,58.396369934082
8PdOoFwOz9,1238563835.38672,H1,Koi_Fish,0.9999819993972778,28.3134708404541,"[8,30)",1.25,47.1237487792969
X9njkRhsmI,1259556042.02539,H1,Koi_Fish,0.999975562095642,25.8250999450684,"[8,30)",1.25,49.2082595825195
9yubW912i6,1264858501.41016,H1,Koi_Fish,0.999969482421875,26.7551097869873,"[8,30)",1.25,39.7892990112305
1VWylKv0wz,1244083194.32422,H1,Koi_Fish,0.9999083280563354,14.6695604324341,"[8,30)",1.0,39.7892990112305
cKBRFZisI2,1239024432.76172,H1,Koi_Fish,1.0,92.556282043457,"[30,100)",1.75,47.1237487792969
T2wUlwWEjN,1238769669.81836,H1,Koi_Fish,1.0,73.236442565918,"[30,100)",1.25,72.3655624389648
2IBJu4dUqF,1238208337.97461,H1,Koi_Fish,1.0,67.9936904907227,"[30,100)",1.25,72.3655624389648
PVvCFkdoD8,1239363943.68945,H1,Koi_Fish,1.0,60.1538200378418,"[30,100)",1.5,58.396369934082
Mg3rywfajR,1238919051.74414,H1,Koi_Fish,0.9999998807907104,89.8646469116211,"[30,100)",1.5,72.3655624389648
DHP8OXdmCj,1239171477.9707,H1,Koi_Fish,1.0,171.420715332031,"[100,300)",1.75,72.3655624389648
akqh6eJN2k,1239105092.24512,H1,Koi_Fish,1.0,135.489501953125,"[100,300)",1.375,111.128150939941
7QvKe33Wy0,1251227879.7832,H1,Koi_Fish,1.0,132.359115600586,"[100,300)",1.75,60.8568916320801
sNIR5X9bVe,1249590821.66504,H1,Koi_Fish,1.0,120.046356201172,"[100,300)",1.25,115.113151550293
12Rv3q5cJo,1249725807.0332,H1,Koi_Fish,0.9999998807907104,207.062744140625,"[100,300)",2.25,49.2082595825195
xYIgTfW46c,1248902668.92383,H1,Koi_Fish,0.999997854232788,544.096069335938,"[300,inf)",2.75177001953125,60.8568916320801
M8pEhuOP1F,1246994586.92676,H1,Koi_Fish,0.9999932050704956,310.95703125,"[300,inf)",1.5625,142.362854003906
pi3iyqv93I,1238754229.00879,H1,Koi_Fish,0.999990940093994,320.015014648438,"[300,inf)",1.875,137.711486816406
OP0EzG0RAz,1257152891.04101,H1,Koi_Fish,0.9999886751174928,395.402557373047,"[300,inf)",2.625,49.2082595825195
7JEqiDnAeg,1238733036.63476,H1,Koi_Fish,0.9999815225601196,323.875701904297,"[300,inf)",2.625,89.6763687133789
LSZdUOEshZ,1262790978.0625,H1,Scattered_Light,0.9999990463256836,22.2807502746582,"[8,30)",2.0,35.9645385742188
9Riw6r1kbo,1261529693.125,H1,Scattered_Light,0.9999983310699464,13.3398504257202,"[8,30)",1.77648997306824,31.2132205963135
b8PV2D5576,1238738333.875,H1,Scattered_Light,0.9999983310699464,11.4031600952148,"[8,30)",1.5,31.5901508331299
pogQCNipaB,1238552901.375,H1,Scattered_Light,0.9999980926513672,11.972430229187,"[8,30)",2.0,31.5901508331299
iX6CwQJLn0,1238368990.0625,H1,Scattered_Light,0.999997615814209,9.10639953613281,"[8,30)",1.33594000339508,31.2882995605469
0PLIgSeAk2,1262793829.3125,H1,Scattered_Light,0.9999932050704956,30.0440902709961,"[30,100)",2.50586009025574,32.7411804199219
eeHMSgUVGG,1262799023.5625,H1,Scattered_Light,0.9999890327453612,78.7063369750977,"[30,100)",3.0,39.5274200439453
ZRkMsKBI6N,1262795064.625,H1,Scattered_Light,0.99998676776886,44.0353393554688,"[30,100)",2.875,31.5094699859619
nN7HHBxD3r,1262800695.8125,H1,Scattered_Light,0.9999865293502808,54.320728302002,"[30,100)",3.0,39.1557998657227
shuJog0gpq,1262796985.1875,H1,Scattered_Light,0.9999780654907228,38.2565612792969,"[30,100)",2.5,33.3303604125977
Il03KPo0uH,1262403838.0625,H1,Scattered_Light,0.9999620914459229,134.467956542969,"[100,300)",3.0,50.0562591552734
VTEWyUGuNe,1262805917.6875,H1,Scattered_Light,0.999919891357422,112.102569580078,"[100,300)",1.75,38.4230117797852
ALys8oi1b1,1262400301.1875,H1,Scattered_Light,0.9993461966514589,105.609367370605,"[100,300)",2.75,51.0109214782715
5ZFlZvgFwH,1262372380.9375,H1,Scattered_Light,0.9984887838363647,122.130989074707,"[100,300)",3.0,44.2718086242676
31frrnaR48,1262375541.90625,H1,Scattered_Light,0.9983874559402466,107.658447265625,"[100,300)",2.75,47.6162986755371
AAcd4Aliaw,1243985411.88672,H1,Whistle,1.0,29.8757991790771,"[8,30)",1.05566000938416,935.838623046875
qUEUl7Vehj,1240107782.17578,H1,Whistle,1.0,29.8157806396484,"[8,30)",0.570309996604919,1016.27038574219
CUIpH3YB9Z,1244757100.73682,H1,Whistle,1.0,29.6756591796875,"[8,30)",0.15625,217.740966796875
YmZqY3fIWo,1244852394.31396,H1,Whistle,1.0,29.5265998840332,"[8,30)",0.297850012779236,1270.18615722656
f0LNM5pinL,1240771810.58984,H1,Whistle,1.0,28.8773403167725,"[8,30)",1.39745998382568,1028.548828125
mDfHwtdGxc,1258760654.49414,H1,Whistle,1.0,83.5309982299805,"[30,100)",0.664059996604919,1254.22424316406
si2L1d2Xlu,1266551143.7832,H1,Whistle,1.0,80.7855911254883,"[30,100)",1.14941000938416,1290.27526855469
9PjaLiIZU1,1243578956.31641,H1,Whistle,1.0,80.3962631225586,"[30,100)",1.76660001277924,774.734741210938
YPARM4YrZF,1245144269.82153,H1,Whistle,1.0,74.8965301513672,"[30,100)",0.421880006790161,747.302429199219
0bTcyPqiZB,1240875900.92578,H1,Whistle,1.0,70.7535018920898,"[30,100)",0.954100012779236,1109.28735351562
rxj29PeauQ,1260888319.23047,H1,Whistle,0.9999964237213136,149.430938720703,"[100,300)",1.38183999061584,483.845703125
hz6EfDcDTj,1265092076.08984,H1,Tomte,0.9999998807907104,24.6868495941162,"[8,30)",1.0,39.7892990112305
8aiQCtoZkf,1250326821.13672,H1,Tomte,0.9999998807907104,24.2844390869141,"[8,30)",1.5625,39.7892990112305
K2mPAUToX3,1245911190.87891,H1,Tomte,0.9999998807907104,24.1168003082275,"[8,30)",1.0,39.7892990112305
pkF2SHKncz,1258706093.80859,H1,Tomte,0.9999997615814208,26.8558807373047,"[8,30)",1.03612995147705,39.7892990112305
QAqkPP7yti,1260294617.66797,H1,Tomte,0.9999997615814208,24.1369705200195,"[8,30)",1.25,39.7892990112305
mv7hQ1X80K,1245134304.99023,H1,Tomte,0.9999998807907104,34.7463989257812,"[30,100)",1.25,49.2082595825195
RbhfJCSukh,1257802210.36133,H1,Tomte,0.9999997615814208,43.0369682312012,"[30,100)",1.125,49.2082595825195
sOqAipy1UW,1257651734.31836,H1,Tomte,0.9999994039535522,39.0953712463379,"[30,100)",1.25,49.2082595825195
YL73QjRcIG,1257734632.16992,H1,Tomte,0.9999992847442628,38.2873191833496,"[30,100)",1.25,49.2082595825195
z1FrIXvdKb,1260323303.64648,H1,Tomte,0.9999992847442628,30.5561695098877,"[30,100)",0.75,49.2082595825195
