sample,true_class,true_m1,true_m2,true_mc,true_q,true_chi_eff,recovered_m1,recovered_m2,recovered_mc,recovered_chi_eff,route,confidence,bucket,waveform_n_samples,waveform_duration_s,waveform_peak_strain,waveform_rms_strain
0,BNS,1.4388784397520524,1.3768201154650652,1.2252467323575564,0.9568703494523964,-0.00975801150732926,1.4014048794098295,1.380340380238063,1.210783292719917,-0.013547463387624246,BNS,1.0,match,1048576,256.0,2.1486335340830352e-20,7.422884037450191e-22
1,BBH,25.26736720530052,12.515099716121645,15.294614023196624,0.4953068364596475,0.5328911543338166,25.83701555540867,12.632118236851701,15.53132958228057,0.5250697586384079,BBH,1.0,match,65536,16.0,3.926838585787646e-19,3.077071618913431e-20
2,BBH,42.243402739666195,28.52533161281231,30.104087777034323,0.6752612186240212,0.15267328225065327,43.27628886237615,28.437171518412935,30.40616929663757,0.1489334482292621,BBH,1.0,match,65536,16.0,7.988414647328503e-19,4.9733148481827874e-20
3,BNS,1.4667210037270342,1.0204441375352393,1.0615516342975397,0.6957315910403028,-0.012876894527916329,1.5295449941026005,1.0121496611177199,1.0785977735720067,-0.026161225074251043,BNS,1.0,match,1048576,256.0,1.630470188437983e-20,6.595751354484113e-22
4,BNS,1.1894713590842856,1.0246164041901882,0.9605283996175105,0.8614048554973102,-0.013943054125278704,1.2049485888351712,1.0398474125161448,0.9739294619849411,-0.014288961537764792,BNS,1.0,match,1048576,256.0,1.4519954435146655e-20,6.080233713203934e-22
5,BNS,1.804764357496802,1.3118287887441207,1.3361111108102426,0.7268698449716836,-0.004575991503791184,1.8128351030352716,1.3296411558862518,1.3483456852341362,-0.0012628817285936947,BNS,1.0,match,524288,128.0,2.497571402280878e-20,1.1262089289673042e-21
6,BBH,36.73244203818508,29.774438724432994,28.758267252294626,0.8105760758699648,0.012933558196862871,36.53030910227628,30.664659493792435,29.114379932079405,0.01387940930363863,BBH,1.0,match,65536,16.0,7.825832952840882e-19,4.707536608871067e-20
7,BBH,30.435624791653495,24.45822390327766,23.72354284703057,0.803605119681491,0.15770636154345485,30.868557298142022,24.84630118950898,24.08089590416504,0.1496665155598762,BBH,1.0,match,65536,16.0,6.303284750762548e-19,4.178527004191274e-20
8,BBH,23.383788967608627,20.68878200327061,19.140629054964393,0.8847489186602241,-0.5576141664682784,23.616299006047278,20.747714303374995,19.262076057042997,-0.5537657979927569,BBH,1.0,match,65536,16.0,5.179253811517034e-19,3.2343378872327817e-20
9,BNS,1.7838982091064135,1.5207541945477803,1.432954162705063,0.8524893330710575,0.009397403084968682,1.760282039089816,1.5097118813475694,1.4183271270838127,-0.005693379289366252,BNS,1.0,match,524288,128.0,2.556155367398417e-20,1.1932402501826705e-21
10,BBH,12.25723005651208,8.636197201538465,8.929497001016482,0.7045798407732573,-0.1965195304236747,12.420345623649217,8.619186400224216,8.977445087700325,-0.20537260328040702,BBH,1.0,match,131072,32.0,2.3761883908162255e-19,1.3518263944246105e-20
11,BNS,1.3618126105533905,1.0317128461225527,1.0299072220514167,0.7576026526170164,-0.001824030131692875,1.3727009622199147,1.0130289586563548,1.0242227629223843,0.004315761019445885,BNS,1.0,match,1048576,256.0,1.386238417564018e-20,6.436901542441562e-22
12,BNS,1.7168901891589956,1.322142852272631,1.3093792547683436,0.7700800322705972,-0.03042629085835856,1.7052485379227142,1.3443630002255476,1.3162356148951244,-0.04601501843169063,BNS,1.0,match,1048576,256.0,2.31265988816443e-20,7.83143581632811e-22
13,BBH,31.06488060238532,9.60756148106245,14.556925747543842,0.3092740514291477,0.5335080654584494,30.735908046647307,9.65227050117787,14.524943978925355,0.5410620780766312,BBH,1.0,match,65536,16.0,3.416712425659244e-19,2.9001459842554025e-20
14,BNS,1.084444321139889,1.035112573801238,0.9222908287171083,0.9545096540440202,-0.023746193641039786,1.1025569541029316,1.0425006082122663,0.9332513347027723,-0.02036511039300501,BNS,1.0,match,1048576,256.0,1.2629915873330663e-20,5.88093798340876e-22
15,BBH,12.676683584159875,12.1018544261192,10.78200202755106,0.9546546102358386,-0.05330890237135472,12.83771573577879,12.048068291509821,10.82562152746319,-0.07671867105615625,BBH,1.0,match,131072,32.0,2.860131085223001e-19,1.585343391342868e-20
16,BNS,1.0827299999224387,1.0402612436724952,0.9238637198722952,0.9607762265264786,0.020979458954761818,1.0613019477499317,0.9959035413612778,0.8949076237887336,0.015607220078657386,BNS,1.0,match,1048576,256.0,1.3672204299341684e-20,5.891660346673546e-22
17,BBH,28.4302581112192,15.283808802919383,17.97559177307613,0.5375895196986643,-0.31527457483695537,28.519556737388566,15.235317912543751,17.971787985479118,-0.3422844826572729,BBH,1.0,match,65536,16.0,4.655151421531368e-19,3.1131953438782237e-20
18,BBH,17.655520272755375,13.345336521657124,13.336789307429042,0.7558733084887116,0.391880740589449,18.002535819949482,13.21207116593138,13.394027262673099,0.36956178421680685,BBH,1.0,match,65536,16.0,3.5179988081053357e-19,2.74502704160651e-20
19,BBH,29.968361122616752,14.26132153190313,17.75623541098032,0.4758792605825978,0.5165519846589961,29.427176167810007,14.527030777243997,17.780958886697476,0.5203930977843996,BBH,1.0,match,65536,16.0,4.521715096761702e-19,3.448945661023364e-20
20,BBH,47.12196065220335,11.933604015234835,19.758083651000383,0.25324930987727984,-0.6019884492634026,45.91758217034212,11.974795932593029,19.571495027976948,-0.5732983906339284,BBH,1.0,match,65536,16.0,4.2519592966165947e-19,2.8599003096714523e-20
