gravityspy_id,event_time,ifo,ml_label,ml_confidence,snr,duration,peak_frequency,fetched,excerpt_window_s,excerpt_excess_energy_w,excerpt_native_snr,excerpt_denoised_energy_w,excerpt_background_rms_w
rwpLitSGpO,1241581364.51025,H1,Blip,0.9999998807907104,28.7245693206787,0.25,269.284820556641,True,1.0,749.1591411219952,27.370771657408476,1514.9190122374453,0.9999999999999999
FCWNXRHDqT,1240747921.04639,H1,Blip,0.9999998807907104,18.5389003753662,0.09375,217.740966796875,True,1.0,744.3193460521679,27.282216663097007,613.2168715709413,1.0
1ZkLOROSXj,1240595566.29834,H1,Blip,0.9999998807907104,14.2938995361328,0.0781200006604195,324.753936767578,True,1.0,158.35218404059924,12.583806420976098,381.85716646144886,1.0
Vt13955i2s,1263711472.65381,H1,Blip,0.9999997615814208,22.3089008331299,0.15625,217.740966796875,True,1.0,1150.4837973970007,33.91878236902087,1175.8868274598865,0.9999999999999999
KaEoAbqde2,1260562379.36035,H1,Blip,0.9999997615814208,17.3188495635986,0.15625,176.063125610352,True,1.0,1027.1888175210079,32.0497865440787,742.2840760864718,1.0
O4VKjByPVe,1262928872.50537,H1,Blip,0.9999997615814208,15.5720996856689,0.125,217.740966796875,True,1.0,824.3251052423539,28.71106241925495,446.5430933937069,1.0
f29b96YTs1,1267959498.61572,H1,Blip,0.9999997615814208,14.3284797668457,0.0781200006604195,217.740966796875,True,1.0,483.70136011065006,21.99321168248626,454.5950855459443,0.9999999999999999
1KeVCs0W9Z,1265026947.38379,H1,Blip,0.9999997615814208,13.1952104568481,0.0390600003302097,176.063125610352,True,1.0,214.38471670153285,14.641882280005287,287.5775944964127,1.0
6dnvrO4pbG,1240569360.40576,H1,Blip,0.9999996423721312,24.6336994171143,0.1875,211.476593017578,True,1.0,1092.9156141298336,33.05927425292082,1286.5045465125681,1.0
NAm9ZQ5Cfz,1253210165.88135,H1,Blip,0.9999996423721312,21.4035301208496,0.1875,269.284820556641,True,1.0,-418.30955170190555,0.0,752.431166763588,1.0
LSZdUOEshZ,1262790978.0625,H1,Scattered_Light,0.9999990463256836,22.2807502746582,2.0,35.9645385742188,False,,,,,
9Riw6r1kbo,1261529693.125,H1,Scattered_Light,0.9999983310699464,13.3398504257202,1.77648997306824,31.2132205963135,True,3.55297994613648,962.2119627126231,31.01954162641065,538.7646575597091,1.0
b8PV2D5576,1238738333.875,H1,Scattered_Light,0.9999983310699464,11.4031600952148,1.5,31.5901508331299,True,3.0,-306.01125704982405,0.0,348.88497885210745,1.0
pogQCNipaB,1238552901.375,H1,Scattered_Light,0.9999980926513672,11.972430229187,2.0,31.5901508331299,True,4.0,-7.35795479042099,0.0,1208.6865145161628,1.0
iX6CwQJLn0,1238368990.0625,H1,Scattered_Light,0.999997615814209,9.10639953613281,1.33594000339508,31.2882995605469,True,2.67188000679016,-561.533106855044,0.0,283.8056656594239,1.0
AAcd4Aliaw,1243985411.88672,H1,Whistle,1.0,29.8757991790771,1.05566000938416,935.838623046875,True,2.11132001876832,16708.708756841155,129.262170633334,16188.23556792865,1.0
qUEUl7Vehj,1240107782.17578,H1,Whistle,1.0,29.8157806396484,0.570309996604919,1016.27038574219,True,1.140619993209838,10455.956935127688,102.25437367236518,10598.792694986387,1.0
CUIpH3YB9Z,1244757100.73682,H1,Whistle,1.0,29.6756591796875,0.15625,217.740966796875,True,1.0,5576.9805132945185,74.67918393564915,6265.402013914904,1.0
YmZqY3fIWo,1244852394.31396,H1,Whistle,1.0,29.5265998840332,0.297850012779236,1270.18615722656,True,1.0,8377.472982684407,91.5285364391041,8800.824348590624,1.0
f0LNM5pinL,1240771810.58984,H1,Whistle,1.0,28.8773403167725,1.39745998382568,1028.548828125,True,2.79491996765136,11522.075776900678,107.34093243912444,11615.028879240708,1.0
3YWIjNLmVk,1238824807.73242,H1,Koi_Fish,0.9999827146530152,29.6348705291748,1.0,58.396369934082,True,2.0,2555.5795463258873,50.55274024546926,2534.8920019634147,1.0
8PdOoFwOz9,1238563835.38672,H1,Koi_Fish,0.9999819993972778,28.3134708404541,1.25,47.1237487792969,True,2.5,1793.6914225883374,42.351994316541195,2226.3127678974224,1.0
X9njkRhsmI,1259556042.02539,H1,Koi_Fish,0.999975562095642,25.8250999450684,1.25,49.2082595825195,True,2.5,2048.7889415331138,45.263549811444456,2112.9116110135924,1.0
9yubW912i6,1264858501.41016,H1,Koi_Fish,0.999969482421875,26.7551097869873,1.25,39.7892990112305,True,2.5,2964.594485429654,54.448089823515886,2675.069268844825,1.0
1VWylKv0wz,1244083194.32422,H1,Koi_Fish,0.9999083280563354,14.6695604324341,1.0,39.7892990112305,True,2.0,845.6338526875661,29.079784261365592,981.4906319114023,1.0
