gravityspy_id,event_time,ifo,ml_label,ml_confidence,snr,snr_bin,duration,peak_frequency,fetched,excerpt_window_s,excerpt_excess_energy_w,excerpt_native_snr,excerpt_denoised_energy_w,excerpt_background_rms_w
rwpLitSGpO,1241581364.51025,H1,Blip,0.9999998807907104,28.7245693206787,"[8,30)",0.25,269.284820556641,True,1.0,749.1591411219952,27.370771657408476,1514.9190122374453,0.9999999999999999
FCWNXRHDqT,1240747921.04639,H1,Blip,0.9999998807907104,18.5389003753662,"[8,30)",0.09375,217.740966796875,True,1.0,744.3193460521679,27.282216663097007,613.2168715709413,1.0
1ZkLOROSXj,1240595566.29834,H1,Blip,0.9999998807907104,14.2938995361328,"[8,30)",0.0781200006604195,324.753936767578,True,1.0,158.35218404059924,12.583806420976098,381.85716646144886,1.0
Vt13955i2s,1263711472.65381,H1,Blip,0.9999997615814208,22.3089008331299,"[8,30)",0.15625,217.740966796875,True,1.0,1150.4837973970007,33.91878236902087,1175.8868274598865,0.9999999999999999
KaEoAbqde2,1260562379.36035,H1,Blip,0.9999997615814208,17.3188495635986,"[8,30)",0.15625,176.063125610352,True,1.0,1027.1888175210079,32.0497865440787,742.2840760864718,1.0
IcV6DZMxTL,1238210670.78223,H1,Blip,0.9999998807907104,80.3803405761719,"[30,100)",1.25,111.128150939941,True,2.5,12103.746756663142,110.0170293939222,12659.773893010912,0.9999999999999998
RRpVjKByZ8,1265092802.5542,H1,Blip,0.9999997615814208,32.3168106079102,"[30,100)",0.25,217.740966796875,True,1.0,1247.3482985995406,35.31781842922267,2082.834589210147,1.0
2WjIcEWRzC,1263969411.51831,H1,Blip,0.9999996423721312,34.6442909240723,"[30,100)",0.1875,411.865447998047,True,1.0,3667.775907573554,60.56216564467913,3225.462914795069,0.9999999999999999
SWOAOgWbmm,1243601282.31103,H1,Blip,0.9999991655349731,39.2656288146973,"[30,100)",0.375,269.284820556641,True,1.0,3003.442958240904,54.803676502958304,3473.399405675348,1.0
g7E65jXHVG,1241210717.1167,H1,Blip,0.9999991655349731,34.1753082275391,"[30,100)",0.21875,269.284820556641,True,1.0,2511.981634567058,50.11967312909231,2752.3355997210347,0.9999999999999999
VCyxTjTWmx,1245443923.63818,H1,Blip,0.9982330799102784,166.305953979492,"[100,300)",0.765619993209839,333.030212402344,True,1.531239986419678,61899.69164445996,248.79648639894407,61661.86319366647,1.0
FlencszvnI,1242143255.21594,H1,Blip,0.99800044298172,124.512229919434,"[100,300)",0.375,963.479125976562,True,1.0,26592.500756061036,163.07207227499453,27143.038472079475,1.0
OiLJ5UrEvp,1263250261.08252,H1,Blip,0.9944652915000916,103.223983764648,"[100,300)",0.625,333.030212402344,True,1.25,30498.99060616664,174.63960205568105,30091.011921002922,0.9999999999999999
kRtp24XNrN,1251034973.20166,H1,Blip,0.9939660429954528,142.999908447266,"[100,300)",2.09862995147705,269.284820556641,True,4.1972599029541,54873.074881036446,234.25002642697063,56014.5002993945,0.9999999999999999
KpcajsakMN,1268233046.64697,H1,Blip,0.9919356107711792,106.587547302246,"[100,300)",0.75,217.740966796875,True,1.5,29891.550731124073,172.8917312398834,29314.429169315463,0.9999999999999999
5GyW2I8RTC,1250481506.04541,H1,Blip,0.9554197192192078,344.380798339844,"[300,inf)",0.75,217.740966796875,True,1.5,-6092.267947007556,0.0,49.02781138643231,0.9999999999999999
3YWIjNLmVk,1238824807.73242,H1,Koi_Fish,0.9999827146530152,29.6348705291748,"[8,30)",1.0,58.396369934082,True,2.0,2555.5795463258873,50.55274024546926,2534.8920019634147,1.0
8PdOoFwOz9,1238563835.38672,H1,Koi_Fish,0.9999819993972778,28.3134708404541,"[8,30)",1.25,47.1237487792969,True,2.5,1793.6914225883374,42.351994316541195,2226.3127678974224,1.0
X9njkRhsmI,1259556042.02539,H1,Koi_Fish,0.999975562095642,25.8250999450684,"[8,30)",1.25,49.2082595825195,True,2.5,2048.7889415331138,45.263549811444456,2112.9116110135924,1.0
9yubW912i6,1264858501.41016,H1,Koi_Fish,0.999969482421875,26.7551097869873,"[8,30)",1.25,39.7892990112305,True,2.5,2964.594485429654,54.448089823515886,2675.069268844825,1.0
1VWylKv0wz,1244083194.32422,H1,Koi_Fish,0.9999083280563354,14.6695604324341,"[8,30)",1.0,39.7892990112305,True,2.0,845.6338526875661,29.079784261365592,981.4906319114023,1.0
cKBRFZisI2,1239024432.76172,H1,Koi_Fish,1.0,92.556282043457,"[30,100)",1.75,47.1237487792969,True,3.5,9742.862070725423,98.70593736308582,13744.367408566693,1.0
T2wUlwWEjN,1238769669.81836,H1,Koi_Fish,1.0,73.236442565918,"[30,100)",1.25,72.3655624389648,True,2.5,4344.000351258999,65.90903087786225,7083.443285908814,1.0
