cell_id,family,held_out,severity,asd_policy,seed,detectors,t_rel,params_json,poison_lo,poison_med,poison_hi,poison_collapsed,gated_lo,gated_med,gated_hi,gated_recovers,oracle_lo,oracle_med,oracle_hi,oracle_recovers,detector_n_gates,detector_fired,oracle_only_recovery,residual_power_H1,residual_power_L1,error,elapsed_s,gs_label,gs_event_time,gs_snr,gs_duration,gs_confidence,excerpt_window_s,severity_mode,scale_k,native_snr,injected_snr_w,injected_inband_rms_ratio,is_noise_control,gates_json,gs_snr_bin,injected_rho_w
0,Blip,True,nan,stationary,0,H1,-1.4660163946254445,"{""gs_event_time"": 1241581364.51025, ""window_s"": 1.0, ""mode"": ""native""}",17.207115173339844,32.31892395019531,45.652456283569336,False,16.647403144836424,32.35907173156738,45.27616386413574,True,18.193118476867674,33.68402862548828,45.141046142578126,True,1,True,False,0.0476959972928012,0.0,,7.277,Blip,1241581364.51025,28.7245693206787,0.25,0.9999998807907104,1.0,native,34.44049011860848,27.370771657408476,27.370771657408472,0.004521914624871528,False,"[[-2.0, -0.787]]","[8,30)",29.51568931312247
1,Blip,True,nan,stationary,0,H1,-1.3508600682005232,"{""gs_event_time"": 1241581364.51025, ""window_s"": 1.0, ""mode"": ""native""}",18.092787170410155,33.47822570800781,45.16454620361328,False,19.362718200683595,34.897186279296875,44.70782966613769,True,14.752778053283691,28.573490142822266,44.87622718811035,True,1,True,False,0.049232876266354524,0.0,,5.399,Blip,1241581364.51025,28.7245693206787,0.25,0.9999998807907104,1.0,native,34.44049011860848,27.370771657408476,27.370771657408472,0.004521914624871528,False,"[[-2.0, -0.662]]","[8,30)",29.51568931312247
2,Blip,True,nan,stationary,0,H1,-0.6952507023676436,"{""gs_event_time"": 1241581364.51025, ""window_s"": 1.0, ""mode"": ""native""}",19.393344497680665,34.37211036682129,45.1497859954834,False,19.823580169677733,35.618892669677734,45.37219505310058,True,19.855553817749023,34.62343978881836,44.068142318725585,True,1,True,False,0.047059476771887744,0.0,,5.337,Blip,1241581364.51025,28.7245693206787,0.25,0.9999998807907104,1.0,native,34.44049011860848,27.370771657408476,27.370771657408472,0.004521914624871528,False,"[[-1.463, 0.088]]","[8,30)",29.51568931312247
3,Blip,True,nan,stationary,0,H1,-0.7233725861108999,"{""gs_event_time"": 1240747921.04639, ""window_s"": 1.0, ""mode"": ""native""}",18.66591110229492,34.4088249206543,44.844985198974605,False,21.062121963500978,35.4232292175293,45.21061820983887,True,16.383935928344727,28.75663471221924,45.681141471862794,True,1,True,False,0.04477866237713961,0.0,,5.129,Blip,1240747921.04639,18.5389003753662,0.09375,0.9999998807907104,1.0,native,54.003019607542136,27.282216663097007,27.282216663097014,0.004709038160890981,False,"[[-1.463, -0.037]]","[8,30)",29.41926334605877
4,Blip,True,nan,stationary,0,H1,-0.7615378662224954,"{""gs_event_time"": 1240747921.04639, ""window_s"": 1.0, ""mode"": ""native""}",18.721439933776857,34.149789810180664,45.50556640625,False,19.573564529418945,33.360342025756836,45.397624015808105,True,19.904034996032713,34.70883369445801,44.848247337341306,True,1,True,False,0.042669608259299975,0.0,,5.354,Blip,1240747921.04639,18.5389003753662,0.09375,0.9999998807907104,1.0,native,54.003019607542136,27.282216663097007,27.282216663097014,0.004709038160890981,False,"[[-1.463, -0.162]]","[8,30)",29.41926334605877
5,Blip,True,nan,stationary,0,H1,-1.0395869348857398,"{""gs_event_time"": 1240747921.04639, ""window_s"": 1.0, ""mode"": ""native""}",20.18974914550781,35.36613845825195,45.60834503173828,False,16.438234519958495,31.02871036529541,45.204840660095215,True,23.02825403213501,35.55241775512695,45.385264778137206,True,1,True,False,0.04334531396629703,0.0,,5.465,Blip,1240747921.04639,18.5389003753662,0.09375,0.9999998807907104,1.0,native,54.003019607542136,27.282216663097007,27.282216663097014,0.004709038160890981,False,"[[-1.838, -0.787]]","[8,30)",29.41926334605877
6,Blip,True,nan,stationary,0,H1,-0.3033480770529468,"{""gs_event_time"": 1240595566.29834, ""window_s"": 1.0, ""mode"": ""native""}",20.486803245544433,34.68337631225586,45.00773620605469,False,20.023211097717287,34.863094329833984,45.20072898864746,True,14.33439598083496,25.106343269348145,45.95814056396484,True,0,False,False,0.0,0.0,,5.596,Blip,1240595566.29834,14.2938995361328,0.0781200006604195,0.9999998807907104,1.0,native,31.50325342416871,12.583806420976098,12.583806420976098,0.002095137208338339,False,[],"[8,30)",13.568766560740471
7,Blip,True,nan,stationary,0,H1,-0.32299759346852397,"{""gs_event_time"": 1240595566.29834, ""window_s"": 1.0, ""mode"": ""native""}",21.14221782684326,35.4565372467041,45.23479957580567,False,21.151248741149903,34.26981735229492,45.34912586212158,True,15.585028648376465,30.205899238586426,45.87631340026855,True,0,False,False,0.0,0.0,,5.214,Blip,1240595566.29834,14.2938995361328,0.0781200006604195,0.9999998807907104,1.0,native,31.50325342416871,12.583806420976098,12.583806420976098,0.002095137208338339,False,[],"[8,30)",13.568766560740471
8,Blip,True,nan,stationary,0,H1,-0.6773496186231663,"{""gs_event_time"": 1240595566.29834, ""window_s"": 1.0, ""mode"": ""native""}",19.58428611755371,35.0320987701416,45.82830467224121,False,19.64168300628662,34.21196174621582,45.22765197753906,True,13.50684928894043,25.433887481689453,42.944606971740725,True,0,False,False,0.0,0.0,,5.268,Blip,1240595566.29834,14.2938995361328,0.0781200006604195,0.9999998807907104,1.0,native,31.50325342416871,12.583806420976098,12.583806420976098,0.002095137208338339,False,[],"[8,30)",13.568766560740471
9,Blip,True,nan,stationary,0,H1,-0.7194488684786204,"{""gs_event_time"": 1263711472.65381, ""window_s"": 1.0, ""mode"": ""native""}",16.76619358062744,32.432159423828125,45.10124835968018,False,19.487533950805666,34.29240036010742,45.30435676574707,True,13.88001594543457,26.190571784973145,42.987738609313965,True,1,True,False,0.04705947680344935,0.0,,5.267,Blip,1263711472.65381,22.3089008331299,0.15625,0.9999997615814208,1.0,native,48.439330746417426,33.91878236902087,33.91878236902086,0.006754077634994689,False,"[[-1.463, 0.088]]","[8,30)",36.57639171319674
10,Blip,True,nan,stationary,0,H1,-0.6738639233148719,"{""gs_event_time"": 1263711472.65381, ""window_s"": 1.0, ""mode"": ""native""}",20.28066635131836,34.937503814697266,45.38795185089111,False,18.54874267578125,34.20917320251465,45.2583122253418,True,17.540164184570312,32.08197021484375,43.54021244049072,True,1,True,False,0.047059476802720025,0.0,,4.905,Blip,1263711472.65381,22.3089008331299,0.15625,0.9999997615814208,1.0,native,48.439330746417426,33.91878236902087,33.91878236902086,0.006754077634994689,False,"[[-1.463, 0.088]]","[8,30)",36.57639171319674
11,Blip,True,nan,stationary,0,H1,-1.0332942912250755,"{""gs_event_time"": 1263711472.65381, ""window_s"": 1.0, ""mode"": ""native""}",21.17426128387451,35.476003646850586,45.22692718505859,False,18.95020160675049,34.37422180175781,44.99651565551758,True,15.7334379196167,31.160435676574707,43.523908615112305,True,1,True,False,0.049455392998514446,0.0,,5.338,Blip,1263711472.65381,22.3089008331299,0.15625,0.9999997615814208,1.0,native,48.439330746417426,33.91878236902087,33.91878236902086,0.006754077634994689,False,"[[-1.838, -0.287]]","[8,30)",36.57639171319674
12,Blip,True,nan,stationary,0,H1,-1.3378841939731065,"{""gs_event_time"": 1260562379.36035, ""window_s"": 1.0, ""mode"": ""native""}",20.13591957092285,35.54050827026367,45.321491432189944,False,19.383037185668947,34.810115814208984,44.950287437438966,True,13.834500885009765,25.359675407409668,44.0440071105957,True,1,True,False,0.04923287622543856,0.0,,5.734,Blip,1260562379.36035,17.3188495635986,0.15625,0.9999997615814208,1.0,native,57.667258601307495,32.0497865440787,32.0497865440787,0.008777986800201334,False,"[[-2.0, -0.662]]","[8,30)",34.55698616179423
13,Blip,True,nan,stationary,0,H1,-0.634213991767102,"{""gs_event_time"": 1260562379.36035, ""window_s"": 1.0, ""mode"": ""native""}",19.90515480041504,36.160240173339844,46.068774414062496,False,18.02552375793457,34.78488349914551,45.55315742492676,True,14.296664810180664,26.058194160461426,45.24650268554687,True,1,True,False,0.04239571825370718,0.0,,5.786,Blip,1260562379.36035,17.3188495635986,0.15625,0.9999997615814208,1.0,native,57.667258601307495,32.0497865440787,32.0497865440787,0.008777986800201334,False,"[[-1.338, -0.037]]","[8,30)",34.55698616179423
14,Blip,True,nan,stationary,0,H1,-0.869574813029129,"{""gs_event_time"": 1260562379.36035, ""window_s"": 1.0, ""mode"": ""native""}",16.800353622436525,31.853073120117188,44.99217300415039,False,17.65827178955078,32.09942817687988,45.51706161499023,True,21.34787197113037,34.59621810913086,45.090976333618165,True,1,True,False,0.045342824015764956,0.0,,5.39,Blip,1260562379.36035,17.3188495635986,0.15625,0.9999997615814208,1.0,native,57.667258601307495,32.0497865440787,32.0497865440787,0.008777986800201334,False,"[[-1.588, -0.162]]","[8,30)",34.55698616179423
